query_id,gold_place_name,gold_district,gold_place_type,failure_category,diagnosis,best_raw_rank,best_final_rank,recommended_top1,top1_place_type,top1_composite_similarity
2026-03-10_17:40_중구,황학시장 입구,중구,전통시장,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,남대문시장,market,0.86384
2026-03-11_15:10_영등포구,영등포전통시장 남문,영등포구,전통시장,hit,final_proposed Top10 안에서 exact/alias hit 발생,7,4,영등포유통상가,market,0.859058
2026-03-11_16:20_영등포구,대림중앙시장,영등포구,전통시장,hit,final_proposed Top10 안에서 exact/alias hit 발생,8,5,영등포유통상가,market,0.859058
2026-03-12_16:00_강서구,방신전통시장,강서구,전통시장,hit,final_proposed Top10 안에서 exact/alias hit 발생,9,9,공항동 먹자골목 골목형상점가,market,0.862723
2026-03-12_17:25_강서구,남부골목시장,강서구,골목상권,hit,final_proposed Top10 안에서 exact/alias hit 발생,5,5,공항동 먹자골목 골목형상점가,market,0.865842
2026-03-13_14:10_노원구,상계중앙시장,노원구,전통시장,hit,final_proposed Top10 안에서 exact/alias hit 발생,10,2,공릉동도깨비시장,market,0.862345
2026-03-13_14:50_노원구,구립수락노인종합복지관,노원구,복지시설,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,공릉노인복지관,senior_friendly,0.823144
2026-03-13_15:30_노원구,공릉도깨비시장,노원구,전통시장,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,공릉동도깨비시장,market,0.862913
2026-03-16_13:00_구로구,남구로시장,구로구,전통시장,hit,final_proposed Top10 안에서 exact/alias hit 발생,5,2,오류버들시장 골목형상점가,market,0.8714
2026-03-16_14:00_구로구,궁동종합사회복지관,구로구,복지시설,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,구로노인종합복지관,senior_friendly,0.827282
2026-03-17_14:00_마포구,"망원시장, 월드컵시장",마포구,전통시장,hit,final_proposed Top10 안에서 exact/alias hit 발생,8,3,아현시장,market,0.865381
2026-03-19_10:00_송파구,잠실학생체육관,송파구,체육시설,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,잠실(송파구청),subway,0.776489
2026-03-24_17:00_광화문,세종대로 사거리 광화문 광장,광화문,교통거점,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,서울역,subway,0.5975
2026-03-24_17:40_종로구,세종마을 음식문화거리,종로구,골목상권,hit,final_proposed Top10 안에서 exact/alias hit 발생,8,8,동대문종합시장,market,0.866696
2026-03-25_17:20_광진구,중곡제일골목시장,광진구,골목상권,hit,final_proposed Top10 안에서 exact/alias hit 발생,5,3,신성전통시장,market,0.86771
2026-03-25_18:15_광진구,건대 맛의거리,광진구,골목상권,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,신성전통시장,market,0.86771
2026-03-26_16:00_관악구,도림천,관악구,공원,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,신림,subway,0.779444
2026-03-26_16:15_관악구,신원시장,관악구,전통시장,hit,final_proposed Top10 안에서 exact/alias hit 발생,7,6,신림별빛거리 골목형상점가,market,0.86401
2026-03-28_12:50_성동구,응봉산 팔각정,성동구,공원,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,성수,subway,0.767917
2026-03-30_11:00_동작구,노량진수산시장,동작구,전통시장,hit,final_proposed Top10 안에서 exact/alias hit 발생,1,1,노량진수산시장골목형상점가,market,0.845849
2026-03-31_11:30_동대문구,장안동 벚꽃길,동대문구,공원,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,신림,subway,0.4925
2026-04-02_16:00_양천구,파리공원,양천구,공원,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,서울역,subway,0.485
2026-04-04_10:00_노원구,마들스포츠타운,노원구,체육시설,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,노원,subway,0.778921
2026-04-05_17:40_양천구,양재천 수변무대 일대,양천구,공원,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,서울역,subway,0.5975
2026-04-06_16:30_강북구,수유시장,강북구,전통시장,hit,final_proposed Top10 안에서 exact/alias hit 발생,10,6,강북북부골목시장,market,0.846963
2026-04-06_18:00_성북구,성북천 상점가,성북구,골목상권,candidate_generation_gap,정답 또는 alias 후보가 raw Top50에 없어 reranking만으로 hit 불가,,,월곡달빛오거리골목형상점가,market,0.847926
