gold_id,candidate_name,date,day_of_week,d_day,time,district,place_name,address,event_title,place_type,campaign_activity_type,online_offline,target_voter_group,context_tags,gold_label_0_3,gold_label_reason,use_for_place_recommendation,use_for_message_recommendation,source_image
GWON3_001,정원오,2026-04-29,수,D-35,10:50,성북구,장위14주택재개발구역,성북구 장위로 44,정원오의 찾아가는 현장 : 재개발편,재개발/도시개발현장,현장방문,오프라인,지역주민,"재개발,주거,현장방문,오전",3,재개발 현장을 직접 방문한 오프라인 일정으로 지역 현장성과 장소성이 명확하다.,True,True,정원오20260429.jpg
GWON3_002,정원오,2026-04-29,수,D-35,11:20,성북구,신정위아파트 옥상,성북구 장위로 31,정원오의 부동산 공약 발표 : 착착개발,정책현장,공약발표,혼합,"지역주민,언론시청자","부동산,재개발,공약발표,주거",2,공약 발표 장소로 정책 맥락은 강하지만 직접 유세 장소 추천 정답으로는 보조적이다.,True,True,정원오20260429.jpg
GWON3_003,정원오,2026-04-29,수,D-35,12:00,성북구,정릉공영차고지,성북구 보국문로 145,정원오의 찾아가는 현장 : 정릉공영차고지 편,교통거점,현장방문,오프라인,"지역주민,직장인","교통,차고지,현장방문,생활현장",3,교통 관련 생활 현장을 직접 방문한 일정으로 장소 추천 평가에 활용 가능하다.,True,True,정원오20260429.jpg
GWON3_004,정원오,2026-04-29,수,D-35,17:15,해당 없음,MBN 뉴스와이드,해당 없음,MBN 뉴스와이드,방송/언론,방송출연,온라인,언론시청자,"방송,뉴스,메시지",1,방송 노출 일정으로 메시지 분석에는 유용하지만 장소 추천 정답으로는 약하다.,False,True,정원오20260429.jpg
GWON3_005,정원오,2026-04-30,목,D-34,05:00,양천구,신정차량사업소,양천구 목동동로3길 41,정원오의 찾아가는 현장 : 새벽을 여는 노동자편(지하철),노동현장,현장방문,오프라인,"노동자,직장인","노동,교통,새벽,현장방문",3,새벽 노동 현장을 직접 방문한 일정으로 현장성과 유권자 접촉 가능성이 높다.,True,True,정원오20260430.jpg
GWON3_006,정원오,2026-04-30,목,D-34,05:40,양천구,양천공영차고지,양천구 신정로7길 17,정원오의 찾아가는 현장 : 새벽을 여는 노동자편(버스),노동현장,현장방문,오프라인,"노동자,직장인","노동,버스,새벽,현장방문",3,버스 노동 현장을 직접 방문한 일정으로 장소성과 현장성이 뚜렷하다.,True,True,정원오20260430.jpg
GWON3_007,정원오,2026-04-30,목,D-34,09:00,중구,대한상공회의소 국제회의장,중구 세종대로 39,2026 한국포럼,시민단체/협회,기념행사,오프라인,"직능단체,일반시민","포럼,경제,협회,오전",2,포럼 참석은 오프라인 장소성이 있으나 직접 유세 장소보다는 정책·네트워크 성격이 강하다.,True,True,정원오20260430.jpg
GWON3_008,정원오,2026-04-30,목,D-34,09:50,종로구,전태일 다리,종로구 청계천로 411-1,전태일 열사 추모,추모/상징공간,추모행사,오프라인,"노동자,일반시민","노동,추모,상징공간",2,상징성이 강한 추모공간 방문으로 장소 의미는 있으나 직접 유세 장소성은 중간 수준이다.,True,True,정원오20260430.jpg
GWON3_009,정원오,2026-04-30,목,D-34,10:40,중구,전태일 기념관,종로구 청계천로 105,노동공약 발표,정책현장,공약발표,혼합,"노동자,언론시청자","노동,공약발표,정책,방송",2,노동 공약 발표 장소로 정책 메시지 평가에 중요하지만 장소 추천에는 보조 정답이다.,True,True,정원오20260430.jpg
GWON3_010,정원오,2026-04-30,목,D-34,11:10,중구,태평빌딩 3층,중구 세종대로 74-1,여성본부 출범식,선거사무소,선거조직행사,오프라인,"당원/조직,여성","선거조직,여성,출범식",2,선거조직 행사는 오프라인 장소성이 있으나 대중 유세 장소성은 상대적으로 낮다.,True,True,정원오20260430.jpg
