query_id,rank,recommended_place_name,recommended_district,recommended_place_type,final_score,composite_similarity,explanation
2026-03-10_17:40_중구,1,남대문시장,중구,market,1.719647,0.86384,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-10_17:40_중구,2,평화시장,중구,market,1.562342,0.86384,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-10_17:40_중구,3,삼익패션타운,중구,market,1.530598,0.86384,"이 장소는 중구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_15:10_영등포구,1,영등포유통상가,영등포구,market,1.529346,0.859058,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_15:10_영등포구,2,영등포시장기계공구상가,영등포구,market,1.483628,0.859058,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_15:10_영등포구,3,영등포청과시장,영등포구,market,1.466987,0.859058,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_16:20_영등포구,1,영등포유통상가,영등포구,market,1.529346,0.859058,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_16:20_영등포구,2,영등포시장기계공구상가,영등포구,market,1.483628,0.859058,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-11_16:20_영등포구,3,영등포청과시장,영등포구,market,1.466987,0.859058,"이 장소는 영등포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_16:00_강서구,1,공항동 먹자골목 골목형상점가,강서구,market,1.483657,0.862723,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_16:00_강서구,2,강서구청먹자골목 골목형상점가,강서구,market,1.475853,0.862723,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_16:00_강서구,3,까치산시장,강서구,market,1.467844,0.862723,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_17:25_강서구,1,공항동 먹자골목 골목형상점가,강서구,market,1.5018,0.865842,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_17:25_강서구,2,강서구청먹자골목 골목형상점가,강서구,market,1.493996,0.865842,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-12_17:25_강서구,3,까치산시장,강서구,market,1.485987,0.865842,"이 장소는 강서구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-13_14:10_노원구,1,공릉동도깨비시장,노원구,market,1.462156,0.862345,"이 장소는 노원구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-13_14:10_노원구,2,상계중앙시장,노원구,market,1.461134,0.862345,"이 장소는 노원구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-13_14:50_노원구,1,공릉노인복지관,노원구,senior_friendly,1.848911,0.823144,"이 장소는 노원구 자치구 조건과 일치, senior_friendly 유형이 일정 문맥과 유사, 목표 유권자 조건과 부합, 복지·정책 현장 맥락과 연결으로 평가되어 상위 추천에 배치되었다."
2026-03-13_15:30_노원구,1,공릉동도깨비시장,노원구,market,1.462156,0.862913,"이 장소는 노원구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-13_15:30_노원구,2,상계중앙시장,노원구,market,1.461134,0.862913,"이 장소는 노원구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-16_13:00_구로구,1,오류버들시장 골목형상점가,구로구,market,1.478393,0.8714,"이 장소는 구로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-16_13:00_구로구,2,남구로시장,구로구,market,1.467404,0.8714,"이 장소는 구로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-16_13:00_구로구,3,그라운드고척 골목형상점가,구로구,market,1.465149,0.8714,"이 장소는 구로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-16_14:00_구로구,1,구로노인종합복지관,구로구,senior_friendly,1.822965,0.827282,"이 장소는 구로구 자치구 조건과 일치, senior_friendly 유형이 일정 문맥과 유사, 목표 유권자 조건과 부합, 복지·정책 현장 맥락과 연결으로 평가되어 상위 추천에 배치되었다."
2026-03-17_14:00_마포구,1,아현시장,마포구,market,1.465291,0.865381,"이 장소는 마포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-17_14:00_마포구,2,연남동골목형상점가,마포구,market,1.463755,0.865381,"이 장소는 마포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-17_14:00_마포구,3,망원시장,마포구,market,1.459033,0.865381,"이 장소는 마포구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-19_10:00_송파구,1,잠실(송파구청),송파구,subway,1.608771,0.776489,"이 장소는 송파구 자치구 조건과 일치, subway 유형이 일정 문맥과 유사, 목표 유권자 조건과 부합, 후보 일정 profile과 유사한 장소 유형으로 평가되어 상위 추천에 배치되었다."
2026-03-24_17:00_광화문,1,서울역,중구,subway,1.713275,0.5975,"이 장소는 subway 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합, 후보 일정 profile과 유사한 장소 유형으로 평가되어 상위 추천에 배치되었다."
2026-03-24_17:00_광화문,2,잠실(송파구청),송파구,subway,1.709786,0.5975,"이 장소는 subway 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합, 후보 일정 profile과 유사한 장소 유형으로 평가되어 상위 추천에 배치되었다."
2026-03-24_17:00_광화문,3,강남,강남구,subway,1.679378,0.5975,"이 장소는 subway 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합, 후보 일정 profile과 유사한 장소 유형으로 평가되어 상위 추천에 배치되었다."
2026-03-24_17:40_종로구,1,동대문종합시장,종로구,market,1.641642,0.866696,"이 장소는 종로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-24_17:40_종로구,2,광장전통시장,종로구,market,1.581025,0.866696,"이 장소는 종로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-24_17:40_종로구,3,광장시장,종로구,market,1.533457,0.866696,"이 장소는 종로구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-25_17:20_광진구,1,신성전통시장,광진구,market,1.483726,0.86771,"이 장소는 광진구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-25_17:20_광진구,2,자양전통시장,광진구,market,1.48219,0.86771,"이 장소는 광진구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-25_17:20_광진구,3,중곡제일골목시장,광진구,market,1.481476,0.86771,"이 장소는 광진구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-25_18:15_광진구,1,신성전통시장,광진구,market,1.483726,0.86771,"이 장소는 광진구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-25_18:15_광진구,2,자양전통시장,광진구,market,1.48219,0.86771,"이 장소는 광진구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-25_18:15_광진구,3,중곡제일골목시장,광진구,market,1.481476,0.86771,"이 장소는 광진구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
2026-03-26_16:00_관악구,1,신림,관악구,subway,1.492909,0.779444,"이 장소는 관악구 자치구 조건과 일치, subway 유형이 일정 문맥과 유사, 목표 유권자 조건과 부합, 후보 일정 profile과 유사한 장소 유형으로 평가되어 상위 추천에 배치되었다."
2026-03-26_16:00_관악구,2,서울대입구(관악구청),관악구,subway,1.426744,0.779444,"이 장소는 관악구 자치구 조건과 일치, subway 유형이 일정 문맥과 유사, 목표 유권자 조건과 부합, 후보 일정 profile과 유사한 장소 유형으로 평가되어 상위 추천에 배치되었다."
2026-03-26_16:00_관악구,3,낙성대(강감찬),관악구,subway,1.263685,0.779444,"이 장소는 관악구 자치구 조건과 일치, subway 유형이 일정 문맥과 유사, 목표 유권자 조건과 부합, 후보 일정 profile과 유사한 장소 유형으로 평가되어 상위 추천에 배치되었다."
2026-03-26_16:15_관악구,1,신림별빛거리 골목형상점가,관악구,market,1.480665,0.86401,"이 장소는 관악구 자치구 조건과 일치, market 유형이 일정 문맥과 유사, 입력 시간대의 유동·접촉 가능성이 높음, 목표 유권자 조건과 부합으로 평가되어 상위 추천에 배치되었다."
