gold_id,candidate_name,date,day_of_week,d_day,time,district,place_name,address,event_title,place_type,campaign_activity_type,online_offline,target_voter_group,context_tags,gold_label_0_3,gold_label_reason,use_for_place_recommendation,use_for_message_recommendation,source_image
OH_0001,오세훈,2026-04-27,월,D-37,12:30,종로구,점핑업 캠프,확인 필요,오세훈 점핑업 캠프 오픈,캠프/정당,정당행사,offline,일반시민,manual_visual_review;address_review_required;캠프;정당;정당행사;종로구;오후;캠프/정당,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0427.jpg
OH_0002,오세훈,2026-04-27,월,D-37,14:00,강남구,SETEC 컨벤션홀,확인 필요,강남구 필승결의대회,직능단체,정당행사,offline,일반시민,manual_visual_review;address_review_required;직능단체;정당행사;강남구;오후,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0427.jpg
OH_0003,오세훈,2026-04-27,월,D-37,16:00,서대문구,서대문문화체육회관,확인 필요,서대문구 필승결의대회,체육시설,정당행사,offline,일반시민,manual_visual_review;address_review_required;체육시설;정당행사;서대문구;오후,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0427.jpg
OH_0004,오세훈,2026-04-28,화,D-36,04:05,,새벽동행 자율주행버스,확인 필요,새벽동행 자율주행버스 탑승,교통거점,현장방문,offline,직장인,manual_visual_review;address_review_required;교통거점;현장방문;저녁,0,장소 정보가 부족하거나 온라인/내부 일정으로 장소 추천 평가에서 제외함,False,False,오세훈0428.jpg
OH_0005,오세훈,2026-04-28,화,D-36,11:00,용산구,용산구 필승결의대회장,확인 필요,용산구 필승결의대회,직능단체,정당행사,offline,일반시민,manual_visual_review;address_review_required;직능단체;정당행사;용산구;오전,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0428.jpg
OH_0006,오세훈,2026-04-28,화,D-36,14:00,영등포구,한국노총 서울본부,확인 필요,한국노총 서울본부 노동절 행사,노동현장,노동/직능행사,offline,노동자,manual_visual_review;address_review_required;노동현장;노동;직능행사;영등포구;오후;노동/직능행사,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0428.jpg
OH_0007,오세훈,2026-04-29,수,D-35,09:20,서대문구,신촌벤처스퀘어,확인 필요,[삶의질 특별시 서울] 1호 공약 현장발표,정책현장,공약발표,offline,일반시민,manual_visual_review;address_review_required;정책현장;공약발표;서대문구;오전,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0429.jpg
OH_0008,오세훈,2026-04-29,수,D-35,10:30,성동구,쌍리단길·생문시장,확인 필요,오세훈과 함께 걸어요 쌍리단길 생문시장,골목상권,지역상권방문,offline,상인,manual_visual_review;address_review_required;골목상권;지역상권방문;성동구;오전,3,오프라인 방문이며 장소명과 지역 맥락이 있어 장소 추천 정답으로 적합함,True,True,오세훈0429.jpg
OH_0009,오세훈,2026-04-29,수,D-35,14:00,중구,중구구민회관,확인 필요,중구성동구을 필승결의대회,직능단체,정당행사,offline,일반시민,manual_visual_review;address_review_required;직능단체;정당행사;중구;오후,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0429.jpg
OH_0010,오세훈,2026-04-29,수,D-35,15:00,광진구,광진구 필승결의대회장,확인 필요,광진구 필승결의대회,직능단체,정당행사,offline,일반시민,manual_visual_review;address_review_required;직능단체;정당행사;광진구;오후,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0429.jpg
OH_0011,오세훈,2026-04-30,목,D-34,09:00,중구,대한상공회의소,확인 필요,"2026 한국포럼 K-복지, 세계를 사로잡다",정책현장,토론회,offline,어르신,manual_visual_review;address_review_required;정책현장;토론회;중구;오전,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0430.jpg
OH_0012,오세훈,2026-04-30,목,D-34,10:00,영등포구,국회의원회관,확인 필요,국민의힘 서울시당 필승결의 및 공천자대회,캠프/정당,정당행사,offline,일반시민,manual_visual_review;address_review_required;캠프;정당;정당행사;영등포구;오전;캠프/정당,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0430.jpg
OH_0013,오세훈,2026-04-30,목,D-34,11:30,,서울직장인편,확인 필요,오세훈이 응원합니다 서울직장인편,방송/언론,메시지콘텐츠,online,일반시민,manual_visual_review;address_review_required;방송;언론;메시지콘텐츠;오전;방송/언론,1,장소 추천보다 메시지 또는 미디어 노출 평가에 가까운 일정임,False,True,오세훈0430.jpg
OH_0014,오세훈,2026-04-30,목,D-34,14:00,중구,정책 발표 현장,확인 필요,공약 발표 마을체육 회복 서울,정책현장,공약발표,offline,일반시민,manual_visual_review;address_review_required;정책현장;공약발표;중구;오후,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0430.jpg
OH_0015,오세훈,2026-04-30,목,D-34,16:00,서초구,서초구 필승결의대회장,확인 필요,서초구 필승결의대회,직능단체,정당행사,offline,일반시민,manual_visual_review;address_review_required;직능단체;정당행사;서초구;오후,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0430.jpg
OH_0016,오세훈,2026-05-01,금,D-33,11:40,종로구,서울배달라이더 현장,확인 필요,오세훈이 응원합니다 서울배달라이더,노동현장,현장방문,offline,노동자,manual_visual_review;address_review_required;노동현장;현장방문;종로구;오전,3,오프라인 방문이며 장소명과 지역 맥락이 있어 장소 추천 정답으로 적합함,True,True,오세훈0501.jpg
OH_0017,오세훈,2026-05-01,금,D-33,13:25,서대문구,서대문문화체육회관,확인 필요,서대문갑 필승결의대회,체육시설,정당행사,offline,일반시민,manual_visual_review;address_review_required;체육시설;정당행사;서대문구;오후,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0501.jpg
OH_0018,오세훈,2026-05-01,금,D-33,15:30,성동구,서울숲,확인 필요,공약발표 서울형 그린라이프,공원,공약발표,offline,일반시민,manual_visual_review;address_review_required;공원;공약발표;성동구;오후,2,장소 의미는 있으나 직접 유세 장소성은 보조적인 일정임,True,True,오세훈0501.jpg
OH_0019,오세훈,2026-05-01,금,D-33,15:50,성동구,서울숲,확인 필요,오세훈과 함께 걸어요 서울국제정원박람회,공원,거리인사,offline,일반시민,manual_visual_review;address_review_required;공원;거리인사;성동구;오후,3,오프라인 방문이며 장소명과 지역 맥락이 있어 장소 추천 정답으로 적합함,True,True,오세훈0501.jpg
OH_0020,오세훈,2026-05-01,금,D-33,16:30,성동구,서울숲 야외무대,확인 필요,서울국제정원박람회 개막식,공원,행사참석,offline,일반시민,manual_visual_review;address_review_required;공원;행사참석;성동구;오후,3,오프라인 방문이며 장소명과 지역 맥락이 있어 장소 추천 정답으로 적합함,True,True,오세훈0501.jpg
OH_0021,오세훈,2026-05-02,토,D-32,07:00,마포구,상암동 월드컵공원,확인 필요,2026 여성마라톤대회,체육시설,행사참석,offline,일반시민,manual_visual_review;address_review_required;체육시설;행사참석;마포구;오전,3,오프라인 방문이며 장소명과 지역 맥락이 있어 장소 추천 정답으로 적합함,True,True,오세훈0502.jpg
