place_type,total_gold_count,missing_count,missing_ratio_among_group,missing_ratio_among_missing,raw_coverage_count,raw_coverage_rate,hit_at_10_count,hit_at_10_rate,candidate_generation_gap
공원,11,11,1.0,0.21568627450980393,0,0.0,0,0.0,"공원뿐 아니라 하천 산책로, 산 정상/팔각정, 광장, 생활권 야외공간 POI를 확장"
골목상권,10,7,0.7,0.13725490196078433,3,0.3,3,0.3,서울시 골목상권/상점가/먹자골목 데이터와 상권명 alias를 후보군에 추가
전통시장,21,6,0.2857142857142857,0.11764705882352941,15,0.7142857142857143,15,0.7142857142857143,"전통시장 공식 목록에 시장 출입구/남문/북문, 통칭, 별칭을 확장하고 상권 POI alias table을 추가"
체육시설,6,6,1.0,0.11764705882352941,0,0.0,0,0.0,"공공체육시설, 학교/학생체육관, 생활체육 행사장 데이터를 별도 candidate source로 추가"
복지시설,5,5,1.0,0.09803921568627451,0,0.0,0,0.0,"노인복지시설 외에 종합사회복지관, 장애인복지관, 구립 복지시설 목록을 통합"
정책현장,5,5,1.0,0.09803921568627451,0,0.0,0,0.0,"정책 발표/민원 현장 후보로 공공시설, 도시문제 현장, 생활 SOC 데이터를 추가"
노동현장,4,4,1.0,0.0784313725490196,0,0.0,0,0.0,"노동조합, 산업단지, 사업장 밀집지, 근로자센터 후보군을 별도 구축"
교통거점,3,3,1.0,0.058823529411764705,0,0.0,0,0.0,"지하철역 외에 사거리, 광장, 주요 도로 결절점, 버스 환승거점 데이터를 추가"
재개발/도시개발현장,3,3,1.0,0.058823529411764705,0,0.0,0,0.0,"정비사업구역, 재개발/재건축 사업지, 도시개발 프로젝트 위치 데이터를 추가"
종교시설,1,1,1.0,0.0196078431372549,0,0.0,0,0.0,종교시설 POI와 종교행사 장소 후보군을 별도 구축
어린이/가족시설,1,0,0.0,0.0,1,1.0,1,1.0,"어린이공원, 키즈시설, 가족센터, 보육/돌봄시설 후보군을 추가"
