place_type,total_gold_count,missing_count,missing_ratio_among_group,missing_ratio_among_missing,raw_coverage_count,raw_coverage_rate,hit_at_10_count,hit_at_10_rate,candidate_generation_gap
교통거점,36,0,0.0,0.0,36,1.0,36,1.0,"지하철역 외에 사거리, 광장, 주요 도로 결절점, 버스 환승거점 데이터를 추가"
전통시장,35,0,0.0,0.0,35,1.0,31,0.8857142857142857,"전통시장 공식 목록에 시장 출입구/남문/북문, 통칭, 별칭을 확장하고 상권 POI alias table을 추가"
공원,30,0,0.0,0.0,30,1.0,29,0.9666666666666667,"공원뿐 아니라 하천 산책로, 산 정상/팔각정, 광장, 생활권 야외공간 POI를 확장"
정책현장,17,0,0.0,0.0,17,1.0,17,1.0,"정책 발표/민원 현장 후보로 공공시설, 도시문제 현장, 생활 SOC 데이터를 추가"
골목상권,15,0,0.0,0.0,15,1.0,13,0.8666666666666667,서울시 골목상권/상점가/먹자골목 데이터와 상권명 alias를 후보군에 추가
재개발/도시개발현장,11,0,0.0,0.0,11,1.0,11,1.0,"정비사업구역, 재개발/재건축 사업지, 도시개발 프로젝트 위치 데이터를 추가"
체육시설,9,0,0.0,0.0,9,1.0,9,1.0,"공공체육시설, 학교/학생체육관, 생활체육 행사장 데이터를 별도 candidate source로 추가"
복지시설,8,0,0.0,0.0,8,1.0,8,1.0,"노인복지시설 외에 종합사회복지관, 장애인복지관, 구립 복지시설 목록을 통합"
노동현장,6,0,0.0,0.0,6,1.0,4,0.6666666666666666,"노동조합, 산업단지, 사업장 밀집지, 근로자센터 후보군을 별도 구축"
어린이/가족시설,1,0,0.0,0.0,1,1.0,1,1.0,"어린이공원, 키즈시설, 가족센터, 보육/돌봄시설 후보군을 추가"
종교시설,1,0,0.0,0.0,1,1.0,0,0.0,종교시설 POI와 종교행사 장소 후보군을 별도 구축
